date,merchant,category,amount,type
2025-08-19,Upwork Payment,income,1500,income
2025-08-20,Landlord Property Mgmt,rent,12000,expense
2025-08-20,Hotstar,subscriptions,350,expense
2025-08-21,City Power & Water,utilities,1020,expense
2025-08-22,Local Dhaba,eating_out,1740,expense
2025-08-24,Upwork Payment,income,26600,income
2025-08-27,Swiggy Order,eating_out,1670,expense
2025-09-02,Local Metro Card Recharge,transport,450,expense
2025-09-05,Local Grocery Store,groceries,590,expense
2025-09-06,Upwork Payment,income,26400,income
2025-09-07,Local Metro Card Recharge,transport,750,expense
2025-09-08,Big Bazaar,misc,420,expense
2025-09-09,Landlord Property Mgmt,rent,12000,expense
2025-09-09,Big Bazaar,misc,240,expense
2025-09-11,Gym Membership,subscriptions,350,expense
2025-09-11,Airtel Broadband,utilities,1000,expense
2025-09-13,Swiggy Order,eating_out,680,expense
2025-09-13,Amazon,misc,300,expense
2025-09-14,Local Pharmacy,misc,390,expense
2025-09-16,Hotstar,subscriptions,350,expense
2025-09-17,Zomato Delivery Payout,income,10500,income
2025-09-17,Reliance Fresh,groceries,550,expense
2025-09-19,Local Pharmacy,misc,370,expense
2025-09-20,Reliance Fresh,groceries,650,expense
2025-09-20,Local Grocery Store,groceries,640,expense
2025-09-22,Big Bazaar,groceries,530,expense
2025-09-22,Zomato Order,eating_out,530,expense
2025-09-25,Piped Gas Co,utilities,1010,expense
2025-09-26,Local Dhaba,eating_out,850,expense
2025-10-02,City Power & Water,utilities,900,expense
2025-10-05,Local Metro Card Recharge,transport,480,expense
2025-10-05,Zomato Order,eating_out,680,expense
2025-10-06,Ola Cabs,transport,440,expense
2025-10-07,Big Bazaar,groceries,590,expense
2025-10-09,Upwork Payment,income,10100,income
2025-10-09,City Power & Water,utilities,840,expense
2025-10-10,Consulting Client Payment,income,5000,income
2025-10-10,Cafe Coffee Day,eating_out,1180,expense
2025-10-12,Flipkart,misc,480,expense
2025-10-13,Fiverr Payout,income,13800,income
2025-10-13,Amazon,misc,350,expense
2025-10-14,Local Pharmacy,misc,220,expense
2025-10-14,Amazon,misc,480,expense
2025-10-17,Local Metro Card Recharge,transport,270,expense
2025-10-18,Landlord Property Mgmt,rent,12000,expense
2025-10-21,Uber,transport,200,expense
2025-10-23,Hotstar,subscriptions,350,expense
2025-10-24,DMart,groceries,470,expense
2025-10-25,Spotify,subscriptions,350,expense
2025-10-26,Local Grocery Store,groceries,670,expense
2025-10-26,Reliance Fresh,groceries,580,expense
2025-10-26,Swiggy Order,eating_out,230,expense
2025-10-27,Big Bazaar,groceries,540,expense
2025-11-01,Fiverr Payout,income,22600,income
2025-11-05,Ola Cabs,transport,190,expense
2025-11-05,Netflix,subscriptions,350,expense
2025-11-06,Shanti Nagar Apartments,rent,12000,expense
2025-11-06,Ola Cabs,transport,250,expense
2025-11-06,Amazon,misc,120,expense
2025-11-08,Fiverr Payout,income,5800,income
2025-11-09,Ola Cabs,transport,220,expense
2025-11-09,Petrol Pump,transport,230,expense
2025-11-13,Big Bazaar,misc,470,expense
2025-11-15,Reliance Fresh,groceries,640,expense
2025-11-15,Petrol Pump,transport,380,expense
2025-11-18,Local Grocery Store,groceries,870,expense
2025-11-21,Freelance Client Invoice,income,11100,income
2025-11-22,Zomato Order,eating_out,390,expense
2025-11-23,Piped Gas Co,utilities,800,expense
2025-11-23,Airtel Broadband,utilities,1000,expense
2025-11-24,Cafe Coffee Day,eating_out,570,expense
2025-11-24,Big Bazaar,misc,260,expense
2025-11-25,Big Bazaar,groceries,520,expense
2025-11-25,Swiggy Order,eating_out,560,expense
2025-11-25,Cafe Coffee Day,eating_out,520,expense
2025-11-26,Big Bazaar,groceries,860,expense
2025-11-26,Local Pharmacy,misc,130,expense
2025-11-27,Gym Membership,subscriptions,350,expense
2025-11-27,Local Dhaba,eating_out,470,expense
2025-12-01,Zomato Order,eating_out,650,expense
2025-12-03,Local Grocery Store,groceries,520,expense
2025-12-03,Local Metro Card Recharge,transport,590,expense
2025-12-03,Local Pharmacy,misc,200,expense
2025-12-04,Uber,transport,730,expense
2025-12-05,Landlord Property Mgmt,rent,12000,expense
2025-12-05,City Power & Water,utilities,890,expense
2025-12-05,Amazon,misc,280,expense
2025-12-08,DMart,groceries,650,expense
2025-12-08,Local Dhaba,eating_out,660,expense
2025-12-09,Local Dhaba,eating_out,550,expense
2025-12-10,DMart,groceries,480,expense
2025-12-13,Swiggy Delivery Payout,income,36200,income
2025-12-18,Swiggy Delivery Payout,income,5000,income
2025-12-18,Amazon,misc,160,expense
2025-12-20,Airtel Broadband,utilities,1150,expense
2025-12-20,Local Pharmacy,misc,190,expense
2025-12-20,Flipkart,misc,330,expense
2025-12-21,Gym Membership,subscriptions,350,expense
2025-12-21,Local Dhaba,eating_out,650,expense
2025-12-24,Reliance Fresh,groceries,640,expense
2025-12-26,Reliance Fresh,groceries,640,expense
2025-12-27,Hotstar,subscriptions,350,expense
