date,merchant,category,amount,type
2025-11-12,Airtel Broadband,utilities,1490,expense
2025-11-13,Cafe Coffee Day,eating_out,550,expense
2025-11-15,City Power & Water,utilities,1410,expense
2025-11-15,Local Pharmacy,misc,500,expense
2025-11-17,DMart,groceries,1290,expense
2025-11-17,Local Pharmacy,misc,290,expense
2025-11-19,Fiverr Payout,income,12900,income
2025-11-21,Ola Cabs,transport,1080,expense
2025-11-21,Hotstar,subscriptions,450,expense
2025-11-23,Local Dhaba,eating_out,520,expense
2025-11-23,Amazon,misc,430,expense
2025-11-24,Zomato Order,eating_out,540,expense
2025-11-24,Big Bazaar,misc,250,expense
2025-11-26,Reliance Fresh,groceries,1520,expense
2025-11-26,Local Dhaba,eating_out,270,expense
2025-12-01,Petrol Pump,transport,340,expense
2025-12-04,Hotstar,subscriptions,450,expense
2025-12-05,Zomato Delivery Payout,income,800,income
2025-12-05,Freelance Client Invoice,income,3000,income
2025-12-05,Local Metro Card Recharge,transport,320,expense
2025-12-06,Fiverr Payout,income,14400,income
2025-12-07,Reliance Fresh,groceries,1200,expense
2025-12-07,Local Pharmacy,misc,510,expense
2025-12-08,Shanti Nagar Apartments,rent,15600,expense
2025-12-10,Petrol Pump,transport,250,expense
2025-12-10,Cafe Coffee Day,eating_out,460,expense
2025-12-10,Zomato Order,eating_out,640,expense
2025-12-16,Gym Membership,subscriptions,450,expense
2025-12-17,Big Bazaar,misc,530,expense
2025-12-18,Piped Gas Co,utilities,1180,expense
2025-12-18,Local Pharmacy,misc,900,expense
2025-12-20,Reliance Fresh,groceries,1190,expense
2025-12-20,Cafe Coffee Day,eating_out,730,expense
2025-12-21,Petrol Pump,transport,280,expense
2025-12-23,Local Dhaba,eating_out,780,expense
2025-12-24,Reliance Fresh,groceries,1190,expense
2025-12-24,Piped Gas Co,utilities,1300,expense
2025-12-25,Ola Cabs,transport,340,expense
